ARTIST,TITLE,METADATA_URL,IMAGE_LINK,IMAGE_NAME,DESCRIPTION,TIMEFRAME,TECHNIQUE,valid
"AERTSEN, Pieter",Apostles Peter and John,https://www.wga.hu/html/a/aertsen/apostles.html,https://www.wga.hu/art/a/aertsen/apostles.jpg,web_gallery_aaertsenapostles.jpg,"Earlier the painting was attributed to Joachim Beuckelaer, Aertsen's pupil.",1501-1550,Oil on wood,200.0
"AERTSEN, Pieter",Christ in the House of Martha and Mary,https://www.wga.hu/html/a/aertsen/christ_m.html,https://www.wga.hu/art/a/aertsen/christ_m.jpg,web_gallery_aaertsenchrist_m.jpg,"A kitchen scene combined with a religious subject is set within Renaissance architecture. The background depicts the story of Christ in the house of Martha and Mary. This painting marks the transition from the late mediaeval practice of depicting religious subjects to a new era, in which art depicts the everyday life of the self confident bourgeoisie.",1501-1550,Oil on panel,200.0
"AGABITI, Pietro Paolo",Virgin Enthroned between Sts John the Baptist and Anthony of Padua,https://www.wga.hu/html/a/agabiti/altar1.html,https://www.wga.hu/art/a/agabiti/altar1.jpg,web_gallery_aagabitialtar1.jpg,This is the central piece of an altarpiece. The lunette and predella belonging to the altarpiece are also in the Pinacoteca Civica in Jesi.,1501-1550,Oil on wood,200.0
"AGABITI, Pietro Paolo",Sts Sebastian and Roch,https://www.wga.hu/html/a/agabiti/altar32.html,https://www.wga.hu/art/a/agabiti/altar32.jpg,web_gallery_aagabitialtar32.jpg,This is one of the four predella scenes belonging to the altarpiece with the central panel depicting the Virgin Enthroned between Sts John the Baptist and Anthony of Padua.,1501-1550,Oil on wood,200.0
"AGABITI, Pietro Paolo",St Jerome in the Desert,https://www.wga.hu/html/a/agabiti/altar33.html,https://www.wga.hu/art/a/agabiti/altar33.jpg,web_gallery_aagabitialtar33.jpg,This is one of the four predella scenes belonging to the altarpiece with the central panel depicting the Virgin Enthroned between Sts John the Baptist and Anthony of Padua.,1501-1550,Oil on wood,200.0
"AGABITI, Pietro Paolo","Sacred Representation with Sts Francis, Anthony of Padua and Bernardino",https://www.wga.hu/html/a/agabiti/sacred.html,https://www.wga.hu/art/a/agabiti/sacred.jpg,web_gallery_aagabitisacred.jpg,,1501-1550,Oil on wood,200.0
"AGRESTI, Livio",Virgin and Child with St John the Baptist and a Musician Angel,https://www.wga.hu/html/a/agresti/virgin_c.html,https://www.wga.hu/art/a/agresti/virgin_c.jpg,web_gallery_aagrestivirgin_c.jpg,,1501-1550,Oil on walnut panel,200.0
"ALBANI, Francesco",The Holy Family,https://www.wga.hu/html/a/albani/1/holy_fam.html,https://www.wga.hu/art/a/albani/1/holy_fam.jpg,web_gallery_aalbani1holy_fam.jpg,"The composition and figural types of this Holy Family or The Rest on the Flight into Egypt, especially the statuesque Madonna, owe much to Annibale Carracci, while the soft modeling and freshness of colour, emphasized by the luminosity of the copper support, is highly characteristic of Albani.",1601-1650,Oil on copper,200.0
"ALBANI, Francesco",The Holy Family in a Landscape,https://www.wga.hu/html/a/albani/1/holyfam.html,https://www.wga.hu/art/a/albani/1/holyfam.jpg,web_gallery_aalbani1holyfam.jpg,"Small, highly finished cabinet pictures were a specialty of Albani's production and proved to be enormously popular with collectors, especially in France.  Many were painted on copper, a technique he had learned during his years working in the studio of Denys Calvaert, a Flemish artist who had settled in Bologna and operated a successful workshop.",1601-1650,Oil on copper,200.0
"ALBANI, Francesco",Holy Family,https://www.wga.hu/html/a/albani/1/holyfami.html,https://www.wga.hu/art/a/albani/1/holyfami.jpg,web_gallery_aalbani1holyfami.jpg,"Albani is a typical representative of the reform movement introduced by Carracci. As a student of the Bolognese artists and a colleague of Annibale who collaborated on the decoration of the Aldobrandini lunettes, he had developed a degree of confidence in his choice and application of stylistic means that allowed him not only to handle large wall areas, but also to create small and intimate devotional pictures.",1601-1650,Oil on canvas,200.0
"ALLORI, Alessandro",The Preaching of St John the Baptist,https://www.wga.hu/html/a/allori/alessand/preachin.html,https://www.wga.hu/art/a/allori/alessand/preachin.jpg,web_gallery_aallorialessandpreachin.jpg,"In a nocturnal scene, John the Baptist preaches the coming of Christ. He holds the standard of the Resurrection above a lamb representing Christ's sacrifice. Allori seems to have looked back to the Mannerist for his palette, to Michelangelo for his figures, and to northern Europe for his landscape.",1551-1600,Oil on copper,200.0
"ALLORI, Alessandro",St Peter Walking on the Water,https://www.wga.hu/html/a/allori/alessand/st_peter.html,https://www.wga.hu/art/a/allori/alessand/st_peter.jpg,web_gallery_aallorialessandst_peter.jpg,"In this work, as often occurs in the painting of Allori, the composition is slightly over-emphatic. Saint Peter, kneeling in the foreground, enveloped in his billowing garments, seems in fact to be acting on a stage. The setting, instead, is made pleasant and gracious thanks to an almost archaic use of perspective, to that sea rising high on the horizon, ruffled by light foaming waves, and to the small boat, tossed by the waters, brimming with small figures.",1551-1600,Oil on copper,200.0
"ALSLOOT, Denis van",The Flight into Egypt,https://www.wga.hu/html/a/alsloot/flight_e.html,https://www.wga.hu/art/a/alsloot/flight_e.jpg,web_gallery_aalslootflight_e.jpg,"The forested landscapes of Alsloot often incorporate views of castles and abbeys located in the Foret de Soignes, near Brussels, a frequent source of inspiration. The building depicted with topographical accuracy in its lakeside setting in the present painting can be identified as the château at Tervueren, an important site tied to the Brussels court. ",1601-1650,Oil on oak panel,200.0
